ID,Strassentyp,Bonitaet,Kaufkraft,Anteil Deutscher,Altersstruktur,Bebauung,Regionaltyp,Status,Bequemer Experte,Treuer Vertreterkunde,Anspruchsvoller Delegierer,Preisorientierter Rationalist,ueberforderter Unterstuetzungssucher,Skeptisch Gleichgueltiger,Distinguiert Konservativer,Gesunder Kraftprotz,Unkritisch Wehleidiger,Skeptischer Verweigere,Informierter Koerperbewusster,Eingeschraenkter Kassenpatient,Konservativer Arztglaeubiger,Aboscore,Sinus-Milieus
322,Wohnstrasse,durchschnittlich,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,STA
323,Wohnstrasse,durchschnittlich,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,STA
324,Wohnstrasse,durchschnittlich,hoch,mittel,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,hoch,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,HED
325,Wohnstrasse,durchschnittlich,hoch,mittel,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,hoch,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
326,Wohnstrasse,durchschnittlich,hoch,mittel,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,hoch,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,HED
327,Wohnstrasse,durchschnittlich,hoch,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,HED
328,Wohnstrasse,durchschnittlich,hoch,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
329,Wohnstrasse,durchschnittlich,hoch,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,HED
330,Wohnstrasse,schlecht,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,HED
331,Wohnstrasse,schlecht,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,HED
332,Wohnstrasse,schlecht,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,HED
333,Wohnstrasse,schlecht,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,HED
334,Wohnstrasse,gut,hoch,hoch,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,hoch,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,HED
335,Wohnstrasse,gut,hoch,hoch,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,hoch,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
336,Wohnstrasse,gut,hoch,hoch,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,hoch,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,HED
337,Wohnstrasse,gut,hoch,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
338,Wohnstrasse,gut,hoch,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
339,Wohnstrasse,gut,hoch,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,HED
340,Wohnstrasse,durchschnittlich,hoch,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,MAT
341,Wohnstrasse,durchschnittlich,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,INT
342,Wohnstrasse,durchschnittlich,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,INT
343,Wohnstrasse,durchschnittlich,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
344,Wohnstrasse,durchschnittlich,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
345,Wohnstrasse,gut,hoch,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,MAT
346,Wohnstrasse,durchschnittlich,hoch,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
347,Wohnstrasse,durchschnittlich,hoch,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
348,Wohnstrasse,durchschnittlich,hoch,hoch,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
349,Wohnstrasse,durchschnittlich,hoch,hoch,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
350,Wohnstrasse,durchschnittlich,hoch,hoch,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
351,Wohnstrasse,durchschnittlich,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
352,Wohnstrasse,durchschnittlich,hoch,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
353,Wohnstrasse,durchschnittlich,hoch,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,INT
354,Wohnstrasse,durchschnittlich,hoch,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
355,Wohnstrasse,durchschnittlich,hoch,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
356,Wohnstrasse,durchschnittlich,hoch,mittel,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
357,Wohnstrasse,gut,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
358,Wohnstrasse,gut,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
359,Wohnstrasse,gut,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,HED
360,Wohnstrasse,durchschnittlich,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
361,Wohnstrasse,durchschnittlich,hoch,mittel,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
362,Wohnstrasse,gut,hoch,mittel,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
363,Wohnstrasse,gut,hoch,mittel,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
364,Wohnstrasse,durchschnittlic,hoch,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,niedrig,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,POM
365,Wohnstrasse,durchschnittlic,hoch,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,niedrig,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,POM
