ID,Geburtsdatum,Alter,Geschlecht,Familienstand,HatKinder,Zahlmethode,DAUER_Kundenbeziehung,Region,Bundesland,Gebiet,Umsatz_Total,Umsatz_letztes_Quartal,Oekostrom,Fernwaermeabnehmer,Churn
493,1975-02-04,63,M,single,ja,Paypal,8,Sueddeutschland,Sachsen-Anhalt,Stadt,6064.43,187.4562,0,0,Kunde
494,1978-08-17,47,F,single,ja,Kreditkarte,8,Sueddeutschland,Rheinland-Pfalz,Stadt,,67.387,0,0,Kunde
495,1976-04-21,21,M,verheiratet,ja,Kreditkarte,8,Norddeutschland,Mecklenburg-Vorpommern,Stadt,,106.6882,0,0,Kunde
496,1986-05-01,29,F,verheiratet,ja,Paypal,8,Norddeutschland,Mecklenburg-Vorpommern,Land,,478.008,0,0,Kunde
497,1966-01-18,70,M,,nein,Kreditkarte,8,Norddeutschland,Berlin,Stadt,,356.842,1,0,Kunde
498,1966-02-08,79,F,,nein,Ueberweisung,8,Sueddeutschland,Bayern,Stadt,,36.3172,0,1,Kunde
499,1970-02-02,40,M,,nein,Kreditkarte,8,Norddeutschland,Bremen,Land,8894.39,212.152,1,0,Kunde
500,1984-01-06,68,M,,nein,Ueberweisung,8,Norddeutschland,Nordrhein-Westfalen,Stadt,1704.72,62.266,0,1,Kuendiger
501,1980-07-12,97,F,single,nein,Kreditkarte,8,Sueddeutschland,Thueringen,Stadt,8814.64,388.794,0,0,Kunde
502,1969-02-21,87,F,single,nein,Kreditkarte,8,Norddeutschland,Mecklenburg-Vorpommern,Land,362.47,253.97,0,0,Kunde
503,1982-08-24,42,F,,ja,Paypal,8,Sueddeutschland,Bayern,Stadt,5704.22,65.69,0,0,Kunde
504,1984-11-12,67,M,single,nein,Kreditkarte,8,Sueddeutschland,Thueringen,Stadt,2636.92,50.0454,0,0,Kuendiger
505,1982-07-13,59,M,verheiratet,nein,Kreditkarte,3,Sueddeutschland,Rheinland-Pfalz,Land,4071.45,541.864,0,0,Kunde
506,1976-03-15,52,F,,nein,Ueberweisung,8,Sueddeutschland,Rheinland-Pfalz,Land,7000.24,457.834,0,0,Kunde
507,1982-08-14,80,M,single,nein,Ueberweisung,8,Norddeutschland,Hamburg,Stadt,1314.15,367.07,0,0,Kunde
508,1960-01-18,82,F,,ja,Kreditkarte,8,Sueddeutschland,Rheinland-Pfalz,Stadt,4945.38,342.65,0,0,Kunde
509,1983-02-14,35,F,verheiratet,nein,Kreditkarte,8,Sueddeutschland,Sachsen-Anhalt,Stadt,8065.91,519.422,0,0,Kuendiger
510,1960-09-19,93,F,verheiratet,nein,Ueberweisung,8,Sueddeutschland,Sachsen-Anhalt,Stadt,1310.91,447.692,0,0,Kunde
511,1985-03-10,55,F,verheiratet,ja,Paypal,8,Sueddeutschland,Saarland,Land,9170.84,344.316,0,0,Kuendiger
512,2003-08-23,45,F,verheiratet,ja,Paypal,8,Sueddeutschland,Baden-Wuerttemberg,Stadt,9218.71,56.32,0,1,Kunde
513,1962-06-26,61,M,,ja,Kreditkarte,8,Sueddeutschland,Bayern,Stadt,2530.32,56.32,0,0,Kunde
514,1986-11-03,62,F,verheiratet,ja,Kreditkarte,8,Sueddeutschland,Saarland,Land,1396.54,234.916,0,0,Kunde
515,1974-03-14,68,F,verheiratet,nein,Kreditkarte,8,Norddeutschland,Niedersachsen,Stadt,6206.18,597.274,0,1,Kunde
516,1983-04-06,67,M,verheiratet,nein,Kreditkarte,8,Norddeutschland,Schleswig-Holstein,Stadt,7831.93,450.852,0,0,Kuendiger
517,1964-01-23,84,F,single,nein,Ueberweisung,8,Sueddeutschland,Rheinland-Pfalz,Stadt,7746.2,56.32,0,0,Kunde
518,1981-09-12,36,M,,ja,Kreditkarte,8,Sueddeutschland,Bayern,Stadt,3834.81,29.6956,0,0,Kunde
519,1984-02-19,41,M,,ja,Kreditkarte,8,Norddeutschland,Niedersachsen,Stadt,3352.09,303.252,0,0,Kuendiger
520,1974-01-23,89,M,single,nein,Kreditkarte,8,Norddeutschland,Nordrhein-Westfalen,Stadt,6222.96,512.574,0,0,Kunde
521,1981-03-13,39,M,,ja,Paypal,8,Sueddeutschland,Bayern,Stadt,8992.85,321.196,0,0,Kunde
522,1969-01-28,39,F,verheiratet,nein,Ueberweisung,8,Sueddeutschland,Bayern,Stadt,1856.92,56.32,0,0,Kunde
523,1981-08-17,54,F,verheiratet,nein,Kreditkarte,8,Sueddeutschland,Sachsen-Anhalt,Land,6964.16,417.596,1,0,Kunde
524,1985-08-02,36,M,verheiratet,ja,Kreditkarte,8,Sueddeutschland,Hessen,Land,4763.91,349.79,0,0,Kuendiger
525,1974-10-04,84,F,,nein,Paypal,11,Norddeutschland,Bremen,Stadt,6036.21,456.468,0,0,Kunde
526,1982-04-22,54,M,verheiratet,ja,Kreditkarte,7,Norddeutschland,Bremen,Land,2353.76,106.6886,0,1,Kuendiger
527,1980-06-17,94,F,,ja,Ueberweisung,8,Sueddeutschland,Saarland,Stadt,8740.46,432.744,0,0,Kunde
528,1953-08-23,66,M,,nein,Kreditkarte,8,Norddeutschland,Mecklenburg-Vorpommern,Stadt,7616.14,239.368,0,1,Kunde
529,1950-02-21,51,M,single,nein,Kreditkarte,8,Norddeutschland,Brandenburg,Stadt,6488,399.612,0,0,Kunde
530,1980-09-18,18,M,,ja,Paypal,8,Norddeutschland,Hamburg,Stadt,8770.8,139.8566,0,0,Kuendiger
531,1984-01-13,43,M,,ja,Kreditkarte,8,Norddeutschland,Nordrhein-Westfalen,Stadt,8625.28,29.3808,0,1,Kuendiger
532,1985-06-10,78,M,single,ja,Kreditkarte,8,Norddeutschland,Mecklenburg-Vorpommern,Stadt,,591.092,0,1,Kuendiger
533,1958-07-28,23,F,verheiratet,ja,Kreditkarte,8,Sueddeutschland,Baden-Wuerttemberg,Stadt,,251.966,0,0,Kunde
534,1960-11-13,53,M,single,ja,Kreditkarte,8,Norddeutschland,Brandenburg,Stadt,,231.366,0,0,Kuendiger
535,1958-04-23,87,F,single,nein,Kreditkarte,8,Norddeutschland,Brandenburg,Stadt,,56.32,1,0,Kunde
536,1967-06-02,49,M,,ja,Kreditkarte,8,Sueddeutschland,Hessen,Land,,56.32,0,0,Kunde
537,1978-09-11,56,F,single,nein,Kreditkarte,8,Sueddeutschland,Thueringen,Stadt,,598.874,0,1,Kunde
538,1980-02-04,83,M,,nein,Kreditkarte,8,Sueddeutschland,Sachsen,Land,6533.02,338.442,0,1,Kuendiger
539,1982-07-03,27,F,,ja,Paypal,8,Sueddeutschland,Bayern,Stadt,5029.07,56.32,0,1,Kunde
540,1983-11-07,48,M,,ja,Kreditkarte,8,Sueddeutschland,Sachsen-Anhalt,Stadt,6900.56,442.51,0,0,Kuendiger
541,1974-04-16,41,M,,ja,Kreditkarte,8,Sueddeutschland,Bayern,Land,392.043,241.184,0,1,Kuendiger
542,2003-08-23,66,F,single,nein,Paypal,8,Norddeutschland,Schleswig-Holstein,Land,6723.94,257.848,0,0,Kunde
543,1980-06-20,33,M,single,nein,Kreditkarte,8,Sueddeutschland,Baden-Wuerttemberg,Land,7887.75,249.298,0,0,Kuendiger
544,1982-04-11,19,M,verheiratet,nein,Paypal,8,Sueddeutschland,Bayern,Stadt,2081.85,182.7424,1,0,Kunde
545,1983-04-10,93,M,verheiratet,nein,Ueberweisung,8,Norddeutschland,Mecklenburg-Vorpommern,Stadt,7651.13,433.78,1,0,Kuendiger
546,1984-11-09,73,M,,ja,Kreditkarte,8,Sueddeutschland,Thueringen,Stadt,8460.14,354.122,1,0,Kuendiger
547,1981-05-02,23,M,verheiratet,ja,Kreditkarte,8,Sueddeutschland,Sachsen-Anhalt,Stadt,2445.76,213.806,0,1,Kunde
548,1979-02-11,55,F,,ja,Kreditkarte,8,Sueddeutschland,Saarland,Land,2508.06,205.776,1,1,Kunde
549,1984-04-23,78,M,single,nein,Kreditkarte,8,Norddeutschland,Nordrhein-Westfalen,Stadt,8069.31,452.136,0,0,Kuendiger
550,1982-07-13,19,F,single,nein,Paypal,8,Sueddeutschland,Saarland,Stadt,9020.56,56.32,0,1,Kunde
551,1981-08-15,77,M,single,ja,Kreditkarte,7,Norddeutschland,Niedersachsen,Land,2927.78,325.024,0,0,Kuendiger
552,1983-09-23,56,M,verheiratet,ja,Kreditkarte,8,Norddeutschland,Berlin,Land,9853.33,332.992,0,0,Kuendiger
553,1984-03-23,47,M,,ja,Ueberweisung,7,Sueddeutschland,Thueringen,Land,8474.37,35.2066,0,1,Kuendiger
554,1982-02-11,77,M,verheiratet,ja,Kreditkarte,8,Sueddeutschland,Bayern,Stadt,1702.16,564.72,0,0,Kunde
555,1984-05-23,97,M,verheiratet,ja,Paypal,8,Sueddeutschland,Sachsen,Land,914.827,598.964,0,0,Kuendiger
556,1963-04-30,64,M,verheiratet,ja,Kreditkarte,8,Norddeutschland,Berlin,Land,3651.09,36.9842,0,0,Kunde
557,1980-06-18,92,M,,ja,Ueberweisung,8,Norddeutschland,Nordrhein-Westfalen,Stadt,8127.11,208.05,0,0,Kuendiger
558,1982-02-03,21,M,verheiratet,ja,Ueberweisung,8,Sueddeutschland,Baden-Wuerttemberg,Stadt,1592.42,65.69,0,0,Kuendiger
559,1968-08-21,77,M,verheiratet,ja,Kreditkarte,8,Sueddeutschland,Rheinland-Pfalz,Stadt,7385,269.08,0,0,Kuendiger
560,1963-04-30,32,M,,nein,Ueberweisung,8,Norddeutschland,Brandenburg,Stadt,5416.49,264.998,0,0,Kunde
561,1988-02-04,35,F,single,ja,Ueberweisung,8,Sueddeutschland,Sachsen-Anhalt,Land,5096.89,368.434,1,0,Kunde
562,1953-04-23,20,F,,ja,Ueberweisung,8,Sueddeutschland,Bayern,Stadt,4304.64,348.102,0,1,Kunde
563,1963-04-30,58,M,verheiratet,nein,Ueberweisung,8,Sueddeutschland,Hessen,Stadt,6133.48,167.5404,0,1,Kunde
564,1963-04-30,58,M,verheiratet,ja,Paypal,8,Sueddeutschland,Thueringen,Stadt,3298.16,491.91,0,1,Kunde
565,1958-09-10,31,F,single,ja,Ueberweisung,7,Norddeutschland,Nordrhein-Westfalen,Stadt,8238.82,343.002,0,0,Kunde
566,1958-09-10,34,F,single,ja,Kreditkarte,8,Norddeutschland,Niedersachsen,Stadt,9085.69,459.606,0,0,Kunde
567,1982-01-18,38,M,,nein,Kreditkarte,8,Norddeutschland,Hamburg,Stadt,5053.58,56.32,0,1,Kuendiger
568,1981-05-20,39,M,single,ja,Kreditkarte,7,Sueddeutschland,Thueringen,Stadt,11.0284,47.9032,0,0,Kuendiger
569,1988-03-07,63,F,verheiratet,ja,Kreditkarte,8,Sueddeutschland,Saarland,Land,8879.15,56.32,0,0,Kunde
570,1967-08-23,61,F,verheiratet,ja,Kreditkarte,11,Sueddeutschland,Rheinland-Pfalz,Stadt,3253.39,371.012,0,0,Kunde
571,1963-04-30,53,M,single,nein,Paypal,7,Norddeutschland,Brandenburg,Stadt,3711.15,200.854,0,1,Kunde
572,1963-04-30,39,F,single,nein,Kreditkarte,8,Sueddeutschland,Saarland,Stadt,1382.94,323.864,0,0,Kunde
573,1982-04-04,64,M,,nein,Kreditkarte,8,Sueddeutschland,Hessen,Land,7993.72,293.718,0,1,Kuendiger
574,1981-08-20,32,M,verheiratet,ja,Paypal,8,Norddeutschland,Niedersachsen,Stadt,7072.23,534.604,0,0,Kuendiger
575,1979-10-15,57,M,verheiratet,ja,Kreditkarte,8,Sueddeutschland,Bayern,Stadt,4115.39,441.568,0,0,Kuendiger
576,1982-02-05,74,F,verheiratet,nein,Kreditkarte,8,Norddeutschland,Bremen,Stadt,6074.44,121.0072,0,0,Kuendiger
577,1981-06-19,85,M,single,nein,Kreditkarte,8,Sueddeutschland,Thueringen,Land,9110.06,597.854,1,0,Kuendiger
578,1963-04-30,46,M,,ja,Kreditkarte,11,Sueddeutschland,Thueringen,Stadt,6045.96,258.66,0,0,Kunde
579,1963-04-30,67,F,single,ja,Paypal,6,Norddeutschland,Bremen,Stadt,9821.71,589.99,0,0,Kunde
580,1963-04-30,94,M,verheiratet,nein,Paypal,7,Norddeutschland,Brandenburg,Land,1430.91,139.0182,0,0,Kunde
581,1988-02-29,28,F,,ja,Kreditkarte,8,Sueddeutschland,Thueringen,Stadt,754.329,56.32,0,1,Kunde
582,1970-07-30,75,F,single,nein,Kreditkarte,7,Norddeutschland,Nordrhein-Westfalen,Stadt,3693.97,370.646,0,1,Kunde
583,1958-09-10,94,M,verheiratet,ja,Kreditkarte,7,Sueddeutschland,Baden-Wuerttemberg,Stadt,114.026,18.55298,0,0,Kunde
584,1953-09-27,52,F,verheiratet,ja,Paypal,7,Sueddeutschland,Baden-Wuerttemberg,Land,837.036,588.822,0,0,Kunde
585,1973-01-13,60,F,verheiratet,ja,Kreditkarte,7,Norddeutschland,Berlin,Stadt,9593.06,425.448,0,1,Kunde
586,1976-05-12,97,M,single,ja,Kreditkarte,8,Norddeutschland,Schleswig-Holstein,Stadt,9622.34,236.286,1,1,Kuendiger
587,1958-09-10,60,M,verheiratet,nein,Paypal,7,Norddeutschland,Bremen,Land,6793.38,162.4244,0,0,Kunde
588,1963-04-30,38,M,,nein,Kreditkarte,8,Norddeutschland,Bremen,Stadt,5260,314.296,0,0,Kunde
589,1980-03-09,33,F,,nein,Kreditkarte,8,Sueddeutschland,Thueringen,Stadt,2874.68,509.524,0,0,Kuendiger
590,1963-04-30,22,M,single,ja,Kreditkarte,7,Norddeutschland,Bremen,Stadt,5734.88,449.806,0,0,Kunde
591,1979-03-12,28,F,verheiratet,ja,Kreditkarte,3,Norddeutschland,Bremen,Land,3922.32,431.92,0,1,Kunde
592,1982-10-31,84,M,verheiratet,nein,Ueberweisung,11,Norddeutschland,Schleswig-Holstein,Land,4651.42,580.4,0,1,Kuendiger
593,1986-03-02,80,F,,nein,Kreditkarte,11,Norddeutschland,Brandenburg,Stadt,6520.96,504.18,0,1,Kunde
594,1982-07-30,42,F,,ja,Paypal,8,Norddeutschland,Brandenburg,Stadt,8602.17,164.1394,0,1,Kunde
595,1980-08-11,52,M,,ja,Kreditkarte,11,Sueddeutschland,Hessen,Stadt,5462.23,575.826,1,0,Kunde
596,1950-07-11,37,F,verheiratet,ja,Paypal,5,Norddeutschland,Schleswig-Holstein,Land,4773.2,282.252,0,1,Kunde
597,1963-04-30,35,M,verheiratet,ja,Ueberweisung,5,Sueddeutschland,Sachsen-Anhalt,Stadt,3223.82,506.572,0,0,Kunde
598,1972-10-24,70,M,,nein,Kreditkarte,11,Sueddeutschland,Baden-Wuerttemberg,Stadt,1781.99,56.32,0,1,Kunde
599,1960-11-22,86,F,,nein,Paypal,7,Norddeutschland,Berlin,Stadt,5335.79,43.8908,1,1,Kunde
600,1968-06-16,27,M,,nein,Ueberweisung,7,Norddeutschland,Nordrhein-Westfalen,Stadt,8978.14,120.193,0,1,Kuendiger
601,1979-10-01,46,M,single,nein,Kreditkarte,7,Sueddeutschland,Baden-Wuerttemberg,Land,9086.65,80.0348,0,0,Kuendiger
602,1981-08-20,28,M,single,ja,Ueberweisung,8,Norddeutschland,Niedersachsen,Land,5275.08,241.872,0,0,Kuendiger
603,1981-05-07,31,M,verheiratet,ja,Kreditkarte,7,Sueddeutschland,Baden-Wuerttemberg,Stadt,1586.5,428.896,0,0,Kuendiger
604,1982-06-04,34,F,single,ja,Kreditkarte,7,Sueddeutschland,Hessen,Land,9477.83,285.676,0,0,Kuendiger
605,2003-08-23,76,F,single,ja,Kreditkarte,7,Sueddeutschland,Baden-Wuerttemberg,Stadt,5654.58,319.496,0,1,Kunde
606,1963-04-30,63,M,verheiratet,ja,Ueberweisung,5,Sueddeutschland,Rheinland-Pfalz,Land,8168.66,389.406,0,0,Kunde
607,1983-07-18,73,M,single,ja,Kreditkarte,7,Norddeutschland,Bremen,Land,1962.16,255.202,0,0,Kuendiger
608,1984-11-07,33,F,single,ja,Ueberweisung,7,Norddeutschland,Hamburg,Stadt,8543.31,322.786,1,1,Kuendiger
609,1956-08-01,36,M,,nein,Kreditkarte,7,Sueddeutschland,Thueringen,Stadt,9360.78,500.132,0,1,Kunde
610,1985-09-21,18,M,verheiratet,ja,Kreditkarte,11,Norddeutschland,Berlin,Stadt,5358.98,56.32,0,0,Kunde
611,1969-04-19,44,F,,ja,Paypal,7,Sueddeutschland,Hessen,Stadt,3156.15,297.694,1,0,Kunde
612,1983-05-24,21,F,,ja,Kreditkarte,11,Sueddeutschland,Baden-Wuerttemberg,Stadt,58.5733,268.418,1,0,Kunde
613,1976-08-01,89,F,,ja,Paypal,7,Norddeutschland,Schleswig-Holstein,Stadt,7396.52,429.646,0,0,Kuendiger
614,1971-01-16,44,F,,nein,Kreditkarte,7,Sueddeutschland,Baden-Wuerttemberg,Stadt,146.198,253.86,0,0,Kunde
615,1970-08-27,33,M,single,ja,Paypal,7,Sueddeutschland,Saarland,Stadt,546.639,281.474,0,1,Kuendiger
616,1966-07-20,96,M,,nein,Kreditkarte,7,Norddeutschland,Bremen,Stadt,6155.06,492.742,0,1,Kuendiger
617,1979-07-13,23,F,,nein,Paypal,7,Sueddeutschland,Thueringen,Stadt,5584.47,581.2,0,0,Kuendiger
618,1978-09-01,52,F,single,ja,Kreditkarte,7,Norddeutschland,Schleswig-Holstein,Stadt,4449.73,241.094,0,0,Kunde
619,1982-02-03,33,M,verheiratet,ja,Paypal,7,Sueddeutschland,Rheinland-Pfalz,Stadt,4276.37,56.32,0,1,Kuendiger
620,1973-05-12,76,M,verheiratet,ja,Kreditkarte,7,Sueddeutschland,Sachsen-Anhalt,Land,6452.03,30.5622,0,0,Kuendiger
621,1979-09-07,93,F,,nein,Ueberweisung,7,Norddeutschland,Schleswig-Holstein,Stadt,4417.39,56.32,0,1,Kunde
622,1961-11-05,50,F,verheiratet,nein,Kreditkarte,7,Norddeutschland,Schleswig-Holstein,Stadt,3304.31,56.32,0,0,Kunde
623,1958-09-10,81,F,single,nein,Kreditkarte,7,Sueddeutschland,Sachsen,Stadt,6763.47,142.1316,0,0,Kunde
624,1959-08-20,60,F,single,nein,Ueberweisung,7,Sueddeutschland,Saarland,Land,4746.86,248.374,0,0,Kunde
625,1957-07-07,42,F,single,ja,Kreditkarte,11,Norddeutschland,Nordrhein-Westfalen,Land,4263.91,106.3584,0,1,Kunde
626,1967-01-04,71,F,single,nein,Ueberweisung,11,Sueddeutschland,Sachsen,Stadt,458.19,237.05,0,0,Kunde
627,1989-06-13,60,F,,ja,Paypal,11,Norddeutschland,Schleswig-Holstein,Land,8662.93,56.32,0,0,Kuendiger
628,1963-04-30,37,F,verheiratet,ja,Ueberweisung,11,Norddeutschland,Niedersachsen,Stadt,7924.51,302.986,0,0,Kunde
629,1986-06-09,52,F,verheiratet,ja,Kreditkarte,11,Sueddeutschland,Sachsen-Anhalt,Stadt,6702.66,315.758,0,1,Kunde
630,1963-04-30,80,F,verheiratet,ja,Kreditkarte,11,Sueddeutschland,Bayern,Land,1506.06,310.746,0,1,Kunde
631,1959-08-19,88,F,single,ja,Kreditkarte,11,Norddeutschland,Schleswig-Holstein,Stadt,6690.66,386.508,0,0,Kunde
632,1989-08-23,42,F,single,ja,Kreditkarte,11,Norddeutschland,Nordrhein-Westfalen,Stadt,7575.01,218.816,1,1,Kunde
633,1963-04-30,33,F,single,ja,Kreditkarte,11,Norddeutschland,Mecklenburg-Vorpommern,Land,,428.794,0,1,Kunde
634,1970-12-28,90,F,single,ja,Kreditkarte,11,Sueddeutschland,Sachsen-Anhalt,Stadt,,56.32,0,0,Kunde
635,2003-08-23,21,F,verheiratet,nein,Kreditkarte,11,Sueddeutschland,Thueringen,Land,,485.026,1,0,Kunde
636,1979-09-30,59,F,verheiratet,nein,Kreditkarte,11,Sueddeutschland,Saarland,Land,,56.32,0,0,Kunde
637,1982-06-23,40,M,,ja,Kreditkarte,11,Sueddeutschland,Saarland,Land,,79.756,0,0,Kuendiger
638,1974-02-28,63,F,verheiratet,ja,Paypal,11,Norddeutschland,Schleswig-Holstein,Stadt,,327.666,0,0,Kuendiger
639,1974-08-11,50,F,single,nein,Paypal,11,Sueddeutschland,Hessen,Stadt,,517.724,0,0,Kunde
640,1949-04-28,30,F,verheiratet,ja,Kreditkarte,11,Norddeutschland,Mecklenburg-Vorpommern,Land,6197.19,362.466,0,1,Kunde
641,1963-04-30,46,F,,nein,Kreditkarte,11,Sueddeutschland,Baden-Wuerttemberg,Stadt,3480.55,310.192,0,0,Kunde
642,1960-06-02,64,M,single,nein,Kreditkarte,11,Sueddeutschland,Baden-Wuerttemberg,Stadt,5391.99,50.7526,1,0,Kuendiger
643,1963-04-30,18,F,verheiratet,ja,Kreditkarte,9,Norddeutschland,Brandenburg,Stadt,9722.07,112.7684,0,0,Kunde
644,1983-01-07,41,F,single,nein,Ueberweisung,11,Sueddeutschland,Bayern,Land,5730.71,216.982,0,0,Kunde
645,1963-04-30,32,F,single,nein,Kreditkarte,6,Norddeutschland,Hamburg,Stadt,2203.9,437.232,0,1,Kunde
646,1963-04-30,35,M,verheiratet,nein,Paypal,11,Sueddeutschland,Bayern,Stadt,7768,541.872,0,0,Kunde
647,1971-01-08,33,M,verheiratet,ja,Kreditkarte,5,Sueddeutschland,Hessen,Stadt,3257.38,371.466,0,1,Kuendiger
648,1971-08-22,83,M,,ja,Kreditkarte,11,Sueddeutschland,Saarland,Stadt,9051.32,273.66,0,0,Kuendiger
649,1963-04-30,94,M,,ja,Ueberweisung,11,Sueddeutschland,Baden-Wuerttemberg,Stadt,8349.5,522.978,0,1,Kunde
650,1981-05-20,42,F,,ja,Kreditkarte,11,Sueddeutschland,Baden-Wuerttemberg,Stadt,7434.29,150.8978,0,0,Kunde
651,1985-11-05,94,F,,ja,Ueberweisung,11,Sueddeutschland,Hessen,Stadt,1586.27,597.244,1,1,Kunde
652,1963-04-30,40,F,single,nein,Kreditkarte,11,Sueddeutschland,Rheinland-Pfalz,Stadt,2432.94,583.994,1,0,Kunde
653,1986-04-24,72,F,,nein,Kreditkarte,11,Sueddeutschland,Saarland,Stadt,9091.28,169.605,0,0,Kunde
654,1962-07-07,95,M,,ja,Kreditkarte,11,Norddeutschland,Hamburg,Stadt,5816.73,154.694,0,1,Kuendiger
655,1952-08-21,43,M,single,nein,Ueberweisung,11,Norddeutschland,Niedersachsen,Land,597.668,56.32,0,1,Kunde
656,1982-04-18,69,M,single,ja,Paypal,11,Sueddeutschland,Saarland,Stadt,6215.04,56.32,0,0,Kunde
657,1963-04-30,55,M,verheiratet,ja,Paypal,11,Norddeutschland,Hamburg,Stadt,1693.85,267.012,0,0,Kunde
658,1963-04-30,29,M,,nein,Kreditkarte,11,Norddeutschland,Schleswig-Holstein,Stadt,9417.91,12.89856,0,0,Kunde
659,1950-01-16,87,F,verheiratet,nein,Kreditkarte,11,Sueddeutschland,Hessen,Stadt,7049.24,139.1344,0,0,Kunde
660,1973-06-08,80,M,,nein,Kreditkarte,11,Sueddeutschland,Saarland,Stadt,9544.86,484.99,0,1,Kuendiger
661,1970-01-10,48,F,verheiratet,nein,Kreditkarte,11,Norddeutschland,Niedersachsen,Stadt,7573.88,537.23,1,1,Kunde
662,1955-01-02,52,F,single,ja,Kreditkarte,11,Sueddeutschland,Saarland,Stadt,4276.05,269.564,0,0,Kunde
663,1987-01-03,92,M,single,ja,Ueberweisung,11,Norddeutschland,Mecklenburg-Vorpommern,Land,9209.3,32.0554,1,1,Kuendiger
664,1982-09-30,55,F,,nein,Ueberweisung,11,Sueddeutschland,Rheinland-Pfalz,Stadt,6772.02,348.844,0,1,Kunde
665,1982-08-06,78,M,verheiratet,nein,Kreditkarte,11,Norddeutschland,Brandenburg,Stadt,742.681,291.62,0,1,Kuendiger
666,1958-01-12,33,M,single,nein,Kreditkarte,11,Sueddeutschland,Rheinland-Pfalz,Stadt,1917.36,146.946,0,0,Kunde
667,1985-01-14,81,F,single,nein,Kreditkarte,11,Sueddeutschland,Bayern,Land,5086.07,139.0876,0,1,Kunde
668,1980-01-18,24,M,single,nein,Paypal,11,Sueddeutschland,Hessen,Stadt,1504.12,170.253,0,1,Kunde
669,1958-12-30,94,F,single,nein,Ueberweisung,11,Sueddeutschland,Baden-Wuerttemberg,Stadt,7969.08,371.36,0,1,Kunde
670,1963-03-03,53,M,verheiratet,ja,Kreditkarte,11,Sueddeutschland,Rheinland-Pfalz,Stadt,4237.02,104.3562,0,0,Kunde
671,1980-02-25,76,F,verheiratet,nein,Kreditkarte,11,Sueddeutschland,Bayern,Stadt,8779.75,294.378,0,1,Kunde
672,1984-10-31,21,F,,ja,Paypal,11,Sueddeutschland,Sachsen,Stadt,7885.55,196.3728,0,0,Kuendiger
673,1950-08-23,66,F,verheiratet,ja,Ueberweisung,11,Norddeutschland,Nordrhein-Westfalen,Stadt,4365.44,422.378,0,0,Kunde
674,1984-07-01,76,M,single,nein,Paypal,11,Norddeutschland,Berlin,Stadt,2353.6,99.5514,0,0,Kuendiger
675,1983-07-24,40,M,single,nein,Kreditkarte,11,Sueddeutschland,Saarland,Stadt,7771.71,357.952,0,0,Kuendiger
676,1984-01-30,79,F,,ja,Paypal,11,Norddeutschland,Brandenburg,Stadt,275.949,479.882,1,0,Kunde
677,1970-03-23,74,M,single,ja,Kreditkarte,11,Norddeutschland,Mecklenburg-Vorpommern,Land,1389.9,56.32,0,1,Kunde
678,1984-01-30,77,F,single,nein,Kreditkarte,11,Norddeutschland,Hamburg,Stadt,2941.06,56.32,0,0,Kunde
679,1951-10-18,85,M,,nein,Ueberweisung,11,Sueddeutschland,Sachsen,Stadt,5831.02,308.318,1,1,Kunde
680,1969-10-04,47,M,,ja,Kreditkarte,11,Sueddeutschland,Saarland,Stadt,2351.14,335.972,0,1,Kuendiger
681,1986-07-17,57,F,,ja,Kreditkarte,11,Sueddeutschland,Rheinland-Pfalz,Stadt,7045.95,428.924,0,0,Kunde
682,1958-04-05,49,M,single,ja,Kreditkarte,11,Norddeutschland,Nordrhein-Westfalen,Stadt,9041.49,220.93,0,1,Kunde
683,1975-11-01,40,M,single,ja,Kreditkarte,11,Norddeutschland,Hamburg,Stadt,6782.35,292.034,0,1,Kuendiger
684,1966-02-26,38,M,,nein,Paypal,11,Norddeutschland,Niedersachsen,Stadt,5298.92,403.538,1,0,Kunde
685,1982-09-26,58,F,,nein,Kreditkarte,11,Norddeutschland,Schleswig-Holstein,Stadt,1125.3,552.59,0,1,Kunde
686,1972-03-12,22,M,,nein,Paypal,11,Norddeutschland,Hamburg,Land,3314.92,86.4202,0,0,Kuendiger
687,1978-01-28,97,M,verheiratet,ja,Paypal,11,Sueddeutschland,Baden-Wuerttemberg,Stadt,3938.34,581.18,1,1,Kuendiger
688,1983-02-08,69,M,,ja,Paypal,11,Sueddeutschland,Saarland,Land,5212.75,507.084,1,0,Kuendiger
689,1975-05-03,95,M,verheiratet,ja,Kreditkarte,11,Norddeutschland,Hamburg,Stadt,2376.43,285.276,0,0,Kuendiger
690,1983-03-12,87,F,single,nein,Paypal,11,Norddeutschland,Schleswig-Holstein,Stadt,1293.52,213.344,0,0,Kunde
691,1984-03-12,51,F,,nein,Kreditkarte,8,Sueddeutschland,Baden-Wuerttemberg,Land,,80.7364,0,0,Kunde
692,1980-10-16,43,M,verheiratet,ja,Kreditkarte,5,Norddeutschland,Berlin,Stadt,,350.348,0,0,Kuendiger
693,1964-06-17,96,M,single,nein,Ueberweisung,11,Norddeutschland,Niedersachsen,Land,,56.32,0,1,Kuendiger
694,1963-05-17,60,F,,nein,Kreditkarte,11,Sueddeutschland,Bayern,Land,9948.81,231.364,0,1,Kunde
695,1979-02-10,27,M,single,nein,Paypal,11,Sueddeutschland,Sachsen-Anhalt,Stadt,1671.29,483.014,0,0,Kunde
